Parameter,Distribution_type,Lower_bound,Upper_bound,Mean,Standard_deviation
E_T_AVAIL,unif,0.9,1,,
E_T_INVC,unif,0.5,2,,
ELEC_STEAM_INVC,unif,0.3,2,,
ELEC_INVC,unif,0.5,1.5,,
NATGAS_P,unif,0.5,1.5,,
PV_NORTH,unif,0.2,1.5,,
OFF_SHORE_DE,unif,0.2,1.5,,
OFF_SHORE_DK,unif,0.2,1.5,,
OFF_SHORE_NORTH,unif,0.2,1.5,,
ON_SHORE_DE,unif,0.2,1.5,,
ON_SHORE_DK,unif,0.2,1.5,,
ON_SHORE_NORTH,unif,0.2,1.5,,
H2_T_INVC,unif,0.3,2,,
H2_Demand_DK,unif,0.2,2,,
H2_Demand_DE,unif,0.2,2,,
H2_Demand_Rest,unif,0.2,2,,
DE_Demand_DK,unif,0.2,2,,
DE_Demand_DE,unif,0.2,2,,
DE_Demand_Rest,unif,0.2,2,,
CO2_TAX,unif,70,120,,
DUMMY,norm,100,20,,
